mon,원피스,핸드메이드코트,롱패딩,니트원피스,여아한복,여성롱패딩,롱원피스,라쉬반,남자롱패딩,여성숏패딩,트위드자켓,블라우스,트렌치코트,여성경량패딩,하객원피스,여성핸드메이드코트,셀프웨딩드레스,여자트렌치코트,후드집업,남자트렌치코트,쉬폰원피스,롱스커트,여성린넨자켓,나이키바람막이,린넨원피스,타미힐피거반팔,남자반팔티,여름원피스,나이키반팔티,아디다스반바지,뷔스티에원피스,점프수트,린넨롱원피스,라코스테원피스,오프숄더블라우스,셔츠원피스,레이스원피스,가을원피스,맨투맨,후드티,남아한복,내셔널지오그래픽롱패딩,아디다스롱패딩,패딩조끼,패딩,키즈롱패딩,여자롱패딩
1,4417,4378,4340,4060,3898,894,842,820,807,799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4963,4687,0,0,0,0,3998,0,0,0,4495,3883,1366,1342,1286,1207,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5378,0,0,0,0,0,4604,0,0,0,4643,4461,4864,0,1183,0,0,1857,1413,1354,1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5446,0,0,0,0,0,4623,0,0,0,0,4327,1603,0,4066,0,1472,0,0,0,1638,3832,1612,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5331,0,0,0,0,0,4392,0,0,0,0,4105,0,0,2099,0,0,0,0,0,0,0,1657,0,4351,4166,2207,1701,1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5416,0,0,0,0,0,4424,0,0,0,0,4279,0,0,0,0,0,0,0,0,0,0,0,0,4936,0,1807,1691,0,3727,1813,1799,1776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5629,0,0,0,0,0,4384,0,0,0,0,4173,0,0,0,0,0,0,0,0,0,0,0,0,4744,0,0,1211,0,3917,1267,1380,0,1514,1255,0,0,0,0,0,0,0,0,0,0,0,0
8,5657,0,4113,0,0,0,4364,0,0,0,0,4186,0,0,1929,0,1634,0,0,0,0,0,0,0,4001,0,0,0,0,0,1586,0,0,0,0,1989,1580,0,0,0,0,0,0,0,0,0,0
9,5185,0,4297,0,4281,0,1609,0,0,0,0,1588,0,0,0,0,0,0,4525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4311,1502,1442,1265,0,0,0,0,0,0
10,3495,3947,4052,3559,0,0,0,0,0,0,0,0,0,3557,0,0,0,0,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,0,971,931,859,0,0,0
11,1141,4019,4745,3502,0,0,0,0,1312,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262,3519,0,3615,1413,0
12,1270,3603,4489,1365,0,3740,0,3891,3688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1242,1437,1194
